ELDER	TARGETED	REMOVED Target: 37 38 39 40 41 42 55 56 79 80 81 82 83 84 85 86 87 88 89 90 
ID	 Degree(i)	 Efficiency_Original	 Efficiency_Perturbed	 Centrality_LesionedNodes	
1	3	0.1144	0.1144	0.0000
2	3	0.1144	0.1144	0.0000
3	5	0.1144	0.1144	0.0000
4	4	0.1144	0.1144	0.0000
5	3	0.1144	0.1144	0.0000
6	5	0.1144	0.1144	0.0000
7	6	0.1144	0.1144	0.0000
8	6	0.1144	0.1144	0.0000
9	4	0.1144	0.1144	0.0000
10	4	0.1144	0.1144	0.0000
11	4	0.1144	0.1144	0.0000
12	4	0.1144	0.1144	0.0000
13	4	0.1144	0.1144	0.0000
14	6	0.1144	0.1144	0.0000
15	4	0.1144	0.1144	0.0000
16	6	0.1144	0.1144	0.0000
17	7	0.1144	0.1144	0.0000
18	3	0.1144	0.1144	0.0000
19	3	0.1144	0.1144	0.0000
20	3	0.1144	0.1144	0.0000
21	4	0.1144	0.1144	0.0000
22	5	0.1144	0.1144	0.0000
23	5	0.1144	0.1144	0.0000
24	10	0.1144	0.1144	0.0000
25	6	0.1144	0.1144	0.0000
26	5	0.1144	0.1144	0.0000
27	5	0.1144	0.1144	0.0000
28	8	0.1144	0.1144	0.0000
29	3	0.1144	0.1144	0.0000
30	3	0.1144	0.1144	0.0000
31	4	0.1144	0.1144	0.0000
32	5	0.1144	0.1144	0.0000
33	2	0.1144	0.1144	0.0000
34	4	0.1144	0.1144	0.0000
35	3	0.1144	0.1144	0.0000
36	3	0.1144	0.1144	0.0000
37	3	0.1144	0.0675	0.4100
38	4	0.1144	0.0675	0.4100
39	2	0.1144	0.0675	0.4100
40	3	0.1144	0.0675	0.4100
41	3	0.1144	0.0675	0.4100
42	4	0.1144	0.0675	0.4100
43	6	0.1144	0.1144	0.0000
44	10	0.1144	0.1144	0.0000
45	8	0.1144	0.1144	0.0000
46	8	0.1144	0.1144	0.0000
47	9	0.1144	0.1144	0.0000
48	6	0.1144	0.1144	0.0000
49	8	0.1144	0.1144	0.0000
50	6	0.1144	0.1144	0.0000
51	10	0.1144	0.1144	0.0000
52	9	0.1144	0.1144	0.0000
53	6	0.1144	0.1144	0.0000
54	4	0.1144	0.1144	0.0000
55	4	0.1144	0.0675	0.4100
56	5	0.1144	0.0675	0.4100
57	4	0.1144	0.1144	0.0000
58	5	0.1144	0.1144	0.0000
59	5	0.1144	0.1144	0.0000
60	6	0.1144	0.1144	0.0000
61	3	0.1144	0.1144	0.0000
62	6	0.1144	0.1144	0.0000
63	2	0.1144	0.1144	0.0000
64	4	0.1144	0.1144	0.0000
65	3	0.1144	0.1144	0.0000
66	3	0.1144	0.1144	0.0000
67	4	0.1144	0.1144	0.0000
68	3	0.1144	0.1144	0.0000
69	4	0.1144	0.1144	0.0000
70	3	0.1144	0.1144	0.0000
71	2	0.1144	0.1144	0.0000
72	3	0.1144	0.1144	0.0000
73	2	0.1144	0.1144	0.0000
74	4	0.1144	0.1144	0.0000
75	2	0.1144	0.1144	0.0000
76	3	0.1144	0.1144	0.0000
77	2	0.1144	0.1144	0.0000
78	2	0.1144	0.1144	0.0000
79	5	0.1144	0.0675	0.4100
80	2	0.1144	0.0675	0.4100
81	5	0.1144	0.0675	0.4100
82	5	0.1144	0.0675	0.4100
83	4	0.1144	0.0675	0.4100
84	4	0.1144	0.0675	0.4100
85	2	0.1144	0.0675	0.4100
86	4	0.1144	0.0675	0.4100
87	3	0.1144	0.0675	0.4100
88	3	0.1144	0.0675	0.4100
89	2	0.1144	0.0675	0.4100
90	4	0.1144	0.0675	0.4100
